student_id,gpa_core_modules,skill_programming,skill_data_analysis,skill_design,skill_communication,interest_software,interest_data,interest_security,interest_design,interest_management,career_label
S050,2.84,2,4,7,4,5,2,2,8,4,UI/UX Design
S051,3.02,3,9,2,8,5,9,7,0,9,Database Administration
S052,3.03,8,3,0,4,8,4,6,3,4,DevOps & Cloud Engineering
S053,3.12,8,2,5,8,3,3,9,1,4,Cybersecurity
S054,3.64,5,3,9,6,2,4,4,6,10,IT Project Management
S055,3.23,7,5,5,6,8,5,2,4,6,Quality Assurance/Testing
S056,4.0,6,6,1,3,5,9,7,3,4,Data Science & Analytics
S057,2.9,4,4,3,6,3,5,6,8,9,IT Project Management
S058,3.01,8,3,2,7,7,4,10,4,3,Cybersecurity
S059,2.27,6,6,6,7,10,2,6,0,5,DevOps & Cloud Engineering
S060,3.31,5,9,3,5,7,6,9,1,5,Cybersecurity
S061,2.75,3,2,8,6,3,1,3,7,3,UI/UX Design
S062,2.96,4,6,4,10,1,4,5,7,8,IT Project Management
S063,3.22,8,5,4,4,9,4,6,3,3,Software Engineering
S064,3.29,6,9,4,6,9,5,5,3,3,Software Engineering
S065,3.73,6,2,4,6,10,2,10,4,6,DevOps & Cloud Engineering
S066,3.12,3,2,10,8,2,1,2,10,3,UI/UX Design
S067,3.79,4,3,2,10,8,5,4,2,7,DevOps & Cloud Engineering
S068,2.9,5,5,5,6,9,2,5,5,5,Quality Assurance/Testing
S069,3.75,5,4,6,10,4,2,6,4,10,IT Project Management
S070,3.5,2,6,2,6,3,5,4,4,10,IT Project Management
S071,3.88,7,4,5,6,4,3,9,2,5,Cybersecurity
S072,3.38,6,5,0,8,9,4,8,4,8,DevOps & Cloud Engineering
S073,3.67,4,6,4,6,3,4,4,6,9,IT Project Management
S074,3.43,4,8,3,5,6,6,7,2,3,Cybersecurity
S075,3.45,5,1,2,4,5,5,9,1,6,DevOps & Cloud Engineering
S076,3.85,8,10,1,5,6,9,5,3,2,Data Science & Analytics
S077,3.28,8,5,5,7,7,4,5,4,5,Quality Assurance/Testing
S078,3.93,7,10,3,8,6,8,5,1,5,Data Science & Analytics
S079,3.41,3,0,10,9,1,2,4,10,5,UI/UX Design
S080,3.51,9,5,6,5,10,8,4,3,6,Software Engineering
S081,3.9,4,4,5,10,3,5,6,6,9,IT Project Management
S082,2.43,2,2,6,9,3,7,3,7,10,IT Project Management
S083,3.13,7,5,5,6,6,5,10,2,3,DevOps & Cloud Engineering
S084,3.27,8,8,4,6,4,10,7,2,3,Data Science & Analytics
S085,3.37,8,5,4,5,8,5,4,5,4,Software Engineering
S086,3.73,5,3,4,5,6,6,10,3,5,Cybersecurity
S087,3.33,6,5,3,5,7,4,10,4,5,Cybersecurity
S088,3.08,3,0,10,8,7,2,2,9,6,UI/UX Design
S089,2.86,8,5,3,6,8,5,3,4,8,Quality Assurance/Testing
S090,2.91,6,9,1,5,2,9,8,0,4,Database Administration
S091,3.34,9,3,4,7,9,3,6,0,5,DevOps & Cloud Engineering
S092,3.5,8,7,5,6,8,10,5,4,5,Data Science & Analytics
S093,3.21,3,4,10,8,2,1,1,7,6,UI/UX Design
S094,3.35,8,9,3,6,5,10,3,5,2,Data Science & Analytics
S095,3.78,9,5,4,4,9,7,4,6,4,Software Engineering
S096,2.7,6,10,3,4,6,10,7,2,4,Database Administration
S097,4.0,8,8,7,7,9,10,5,2,4,Data Science & Analytics
S098,2.85,3,0,8,8,6,6,2,8,5,UI/UX Design
S099,2.8,10,4,3,6,5,5,3,6,5,Quality Assurance/Testing
S100,2.81,5,4,5,9,7,6,7,2,7,DevOps & Cloud Engineering
S101,3.09,5,10,3,7,5,10,2,1,6,Data Science & Analytics
S102,3.73,7,7,3,6,8,6,4,1,4,Data Science & Analytics
S103,2.85,5,8,5,3,5,6,9,0,3,Cybersecurity
S104,3.7,6,2,2,8,9,3,6,2,9,DevOps & Cloud Engineering
S105,3.21,10,5,6,5,9,3,6,4,3,Software Engineering
S106,3.06,4,2,10,4,8,1,3,8,5,UI/UX Design
S107,3.04,3,3,6,10,2,4,4,5,9,IT Project Management
S108,3.84,10,6,2,8,7,5,4,4,4,Software Engineering
S109,2.87,6,3,4,9,8,4,5,5,4,Quality Assurance/Testing
S110,3.45,6,3,2,5,10,3,5,2,3,Software Engineering
S111,3.12,7,10,4,10,6,7,4,0,3,Data Science & Analytics
S112,3.44,5,5,5,9,4,3,4,2,9,IT Project Management
S113,3.21,3,6,10,7,3,2,2,9,6,UI/UX Design
S114,2.81,5,7,5,9,3,6,4,4,9,IT Project Management
S115,3.7,10,10,4,4,7,10,4,3,6,Data Science & Analytics
S116,2.91,8,5,5,4,6,4,10,0,4,Cybersecurity
S117,3.17,9,3,3,3,5,6,7,3,2,Cybersecurity
S118,3.53,8,6,3,4,6,6,7,4,3,Software Engineering
S119,3.67,7,10,1,4,8,7,2,1,7,Data Science & Analytics
S120,3.09,1,2,10,4,5,4,0,10,5,UI/UX Design
S121,3.45,3,10,3,5,3,10,6,2,6,Database Administration
S122,2.89,4,8,3,5,7,7,6,1,6,Database Administration
S123,2.5,6,3,2,5,5,4,2,3,6,Quality Assurance/Testing
S124,3.76,10,9,4,6,6,10,4,3,4,Data Science & Analytics
S125,3.23,5,3,3,7,8,4,5,1,5,Quality Assurance/Testing
S126,4.0,4,3,6,5,4,3,3,6,9,IT Project Management
S127,3.26,6,3,5,7,7,2,2,2,5,Quality Assurance/Testing
S128,3.46,7,4,4,5,9,5,5,5,6,Software Engineering
S129,3.2,1,3,10,6,6,0,4,6,8,UI/UX Design
S130,3.55,5,4,5,8,4,5,3,5,7,IT Project Management
S131,3.77,7,3,5,4,8,5,8,3,3,Software Engineering
S132,2.92,5,8,5,3,3,10,6,1,7,Database Administration
S133,3.53,8,6,3,6,10,4,2,5,4,Software Engineering
S134,2.72,4,4,8,9,4,4,3,4,10,IT Project Management
S135,2.67,3,10,2,5,4,8,5,2,5,Database Administration
S136,2.43,8,4,4,9,8,5,7,3,6,Quality Assurance/Testing
S137,2.99,4,4,5,5,8,3,4,5,2,Quality Assurance/Testing
S138,3.83,7,8,3,6,6,7,5,3,4,Data Science & Analytics
S139,3.52,6,3,5,4,9,5,4,3,5,Software Engineering
S140,3.16,2,1,10,9,4,2,5,9,8,UI/UX Design
S141,3.27,3,4,7,9,2,5,5,4,10,IT Project Management
S142,3.72,6,5,1,6,8,4,7,2,6,Cybersecurity
S143,3.19,6,9,3,7,6,8,8,0,5,Database Administration
S144,3.89,3,4,6,7,1,2,6,4,10,IT Project Management
S145,2.88,6,9,1,5,4,10,8,1,6,Database Administration
S146,3.45,5,5,5,3,8,3,3,3,5,Quality Assurance/Testing
S147,3.31,4,1,8,7,7,3,1,9,2,UI/UX Design
S148,3.66,4,9,3,5,4,10,3,1,0,Data Science & Analytics
S149,2.91,6,8,1,5,6,7,5,0,2,Database Administration
S150,3.19,8,5,2,3,7,5,5,5,4,Software Engineering
S151,3.79,8,9,7,5,7,7,2,2,6,Data Science & Analytics
S152,3.48,10,3,4,7,10,5,4,3,4,Software Engineering
S153,3.01,8,9,1,5,5,8,8,1,7,Database Administration
S154,3.76,4,3,5,8,5,3,3,7,8,IT Project Management
S155,2.71,7,10,3,8,8,8,5,1,3,Database Administration
S156,3.32,6,4,5,5,4,6,8,5,6,Cybersecurity
S157,2.74,5,4,6,10,1,5,2,6,9,IT Project Management
S158,2.98,6,5,4,5,4,4,9,2,4,Cybersecurity
S159,2.68,6,7,4,4,6,7,6,1,3,Database Administration
S160,3.34,7,5,5,3,8,7,9,0,3,Cybersecurity
S161,3.65,7,7,3,5,8,9,5,4,2,Data Science & Analytics
S162,2.59,6,4,7,9,4,5,3,7,7,IT Project Management
S163,2.63,4,3,8,6,2,4,1,9,4,UI/UX Design
S164,3.65,10,6,4,7,10,5,4,6,4,Software Engineering
S165,2.9,4,4,6,7,7,5,3,5,6,Quality Assurance/Testing
S166,3.66,6,5,2,7,7,3,7,0,6,DevOps & Cloud Engineering
S167,3.46,9,4,4,6,9,4,10,0,3,Cybersecurity
S168,3.13,8,7,2,6,6,8,8,0,6,Database Administration
S169,2.97,4,1,8,6,3,2,3,10,6,UI/UX Design
S170,2.81,4,4,1,10,4,6,5,8,9,IT Project Management
S171,3.14,5,8,2,1,3,10,5,0,3,Database Administration
S172,3.03,1,2,8,7,6,0,2,9,5,UI/UX Design
S173,3.64,6,6,3,5,8,4,7,3,6,DevOps & Cloud Engineering
S174,2.75,4,5,3,7,10,5,6,2,5,DevOps & Cloud Engineering
S175,3.93,5,10,5,6,5,10,4,0,3,Data Science & Analytics
S176,3.47,9,3,6,6,9,6,5,5,4,Software Engineering
S177,3.53,4,4,9,7,7,1,2,10,4,UI/UX Design
S178,2.32,7,9,4,6,6,10,5,1,3,Database Administration
S179,3.04,8,8,0,8,7,9,3,5,9,Data Science & Analytics
S180,2.56,3,2,10,9,6,1,2,6,3,UI/UX Design
S181,3.14,8,8,4,4,5,6,6,2,5,Database Administration
S182,2.76,6,2,2,5,6,5,10,0,2,Cybersecurity
S183,4.0,3,3,3,6,9,5,5,4,3,Quality Assurance/Testing
S184,2.41,5,2,5,10,3,0,4,7,10,IT Project Management
S185,4.0,7,9,3,7,6,9,2,0,6,Data Science & Analytics
S186,3.06,4,3,6,9,2,4,5,5,10,IT Project Management
S187,4.0,5,6,6,7,6,10,3,3,5,Data Science & Analytics
S188,3.21,4,3,9,7,4,2,4,10,0,UI/UX Design
S189,3.39,5,10,3,7,6,10,5,4,5,Database Administration
S190,2.99,8,6,4,6,5,6,10,3,5,Cybersecurity
S191,3.51,6,8,4,7,3,10,7,2,5,Data Science & Analytics
S192,3.86,8,7,2,5,5,10,4,3,1,Data Science & Analytics
S193,2.81,8,7,3,7,8,5,7,4,6,Software Engineering
S194,2.56,4,3,10,7,6,0,2,8,5,UI/UX Design
S195,3.42,5,3,3,10,5,5,4,4,10,IT Project Management
S196,3.43,5,7,2,3,4,7,7,2,5,Database Administration
S197,2.55,5,4,4,7,8,5,8,1,5,DevOps & Cloud Engineering
S198,3.28,7,3,5,5,6,4,9,3,4,Cybersecurity
S199,2.97,5,2,8,7,4,0,4,8,6,UI/UX Design
S200,3.52,6,9,0,3,6,9,5,1,7,Database Administration
S201,3.06,2,6,8,9,5,2,4,9,3,UI/UX Design
S202,2.69,5,4,0,7,4,4,7,3,6,DevOps & Cloud Engineering
S203,3.56,2,0,9,6,3,2,4,9,3,UI/UX Design
S204,3.26,7,5,6,4,7,5,5,4,4,Software Engineering
S205,3.03,7,5,4,5,10,5,4,4,4,Software Engineering
S206,3.41,4,4,4,8,3,5,3,6,10,IT Project Management
S207,3.21,8,7,4,5,7,5,10,2,3,Cybersecurity
S208,3.27,10,7,3,9,6,9,3,3,6,Data Science & Analytics
S209,3.53,5,10,3,7,6,8,5,3,4,Data Science & Analytics
S210,3.22,4,3,3,8,4,4,4,6,8,IT Project Management
S211,3.74,6,6,3,5,7,6,10,0,3,Cybersecurity
S212,2.82,8,7,4,5,6,3,10,3,3,Cybersecurity
S213,2.76,7,3,2,10,5,7,4,4,4,Quality Assurance/Testing
S214,4.0,6,10,1,8,4,8,3,1,4,Data Science & Analytics
S215,3.58,7,4,2,7,10,2,4,4,4,Software Engineering
S216,3.12,5,4,7,7,4,2,5,6,8,IT Project Management
S217,2.45,5,3,8,6,4,3,3,10,3,UI/UX Design
S218,3.64,9,8,1,7,2,8,2,1,3,Data Science & Analytics
S219,3.64,6,3,6,6,8,4,8,1,3,Cybersecurity
S220,2.96,6,7,6,9,3,3,5,6,10,IT Project Management
S221,3.07,10,6,3,4,6,7,9,1,5,Cybersecurity
S222,3.83,9,6,4,8,10,4,6,3,5,Software Engineering
S223,3.56,5,5,5,8,5,4,4,0,6,DevOps & Cloud Engineering
S224,2.88,3,0,8,8,5,3,2,9,3,UI/UX Design
S225,2.79,7,5,3,7,8,6,8,1,4,Cybersecurity
S226,3.54,9,8,1,3,3,10,4,4,4,Database Administration
S227,2.53,7,7,2,7,3,8,6,3,6,Database Administration
S228,3.06,2,3,5,8,3,5,4,5,8,IT Project Management
S229,3.45,7,5,5,7,7,5,3,4,3,Software Engineering
S230,2.9,7,10,1,6,7,9,4,3,3,Data Science & Analytics
S231,3.05,2,4,10,9,1,5,1,10,8,UI/UX Design
S232,3.61,7,6,4,6,4,7,10,2,4,Cybersecurity
S233,3.03,4,3,10,6,5,2,5,8,6,UI/UX Design
S234,3.13,3,0,8,10,3,2,2,10,6,UI/UX Design
S235,3.22,8,10,4,6,6,9,5,1,3,Data Science & Analytics
S236,3.17,8,6,5,6,10,6,3,5,5,Software Engineering
S237,3.49,5,6,1,4,7,7,8,2,6,Database Administration
S238,2.45,3,9,2,4,2,7,6,3,5,Database Administration
S239,3.59,2,4,5,10,4,5,5,7,9,IT Project Management
S240,2.97,7,9,6,4,7,6,6,5,4,Software Engineering
S241,3.23,8,2,3,6,5,3,6,6,5,Quality Assurance/Testing
S242,3.27,4,3,7,7,5,3,5,3,10,IT Project Management
S243,3.84,3,4,7,8,5,1,5,7,8,IT Project Management
S244,2.92,5,5,3,9,7,3,8,4,7,Cybersecurity
S245,3.41,5,3,8,8,5,5,1,4,9,IT Project Management
S246,3.3,3,3,4,10,3,3,2,5,9,IT Project Management
S247,3.81,8,4,7,6,10,6,6,5,6,Software Engineering
S248,3.15,7,4,6,9,6,2,4,3,5,Quality Assurance/Testing
S249,2.74,5,8,1,6,4,8,8,2,6,Database Administration
S250,3.18,9,2,2,4,6,4,6,5,6,DevOps & Cloud Engineering
